Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
nc,71885826,1,"Wednesday, November 14, 2012 02:07:27 UTC",38.8155,-122.8257,1.6,2.50,30,"Northern California"
ak,10599944,1,"Wednesday, November 14, 2012 01:49:53 UTC",61.6390,-150.9939,1.1,70.30,11,"Southern Alaska"
nc,71885801,0,"Wednesday, November 14, 2012 01:34:49 UTC",38.8197,-122.8233,1.0,3.30,20,"Northern California"
ak,10599864,1,"Wednesday, November 14, 2012 01:29:43 UTC",61.6754,-151.2569,1.7,70.80, 9,"Southern Alaska"
pr,12319000,0,"Wednesday, November 14, 2012 01:10:00 UTC",17.8584,-66.1682,3.0,4.00,15,"Puerto Rico region"
uw,60474147,1,"Wednesday, November 14, 2012 00:49:54 UTC",44.0372,-121.2527,2.8,0.00,22,"Oregon"
us,c000ds9y,8,"Wednesday, November 14, 2012 00:43:04 UTC",17.4559,-93.2990,4.6,38.30,143,"Chiapas, Mexico"
ci,15244801,2,"Wednesday, November 14, 2012 00:31:25 UTC",35.0490,-117.6712,2.1,0.00,16,"Southern California"
ci,15244793,4,"Wednesday, November 14, 2012 00:25:26 UTC",34.0502,-118.1003,1.7,9.30,19,"Greater Los Angeles area, California"
ak,10599635,1,"Wednesday, November 14, 2012 00:17:47 UTC",63.2934,-151.6709,1.7,0.00, 6,"Central Alaska"
us,c000ds8v,7,"Wednesday, November 14, 2012 00:09:45 UTC",15.3146,-90.6554,4.3,79.50,21,"Guatemala"
nn,00393766,9,"Wednesday, November 14, 2012 00:09:44 UTC",38.5400,-118.5294,1.5,11.10,15,"Nevada"
us,c000ds8m,6,"Wednesday, November 14, 2012 00:02:00 UTC",37.2512,37.1476,4.2,10.00,21,"central Turkey"
us,c000ds8k,D,"Wednesday, November 14, 2012 00:00:45 UTC",-27.3717,-69.1227,4.8,91.40,215,"Atacama, Chile"
us,c000ds8h,7,"Tuesday, November 13, 2012 23:55:49 UTC",37.1386,37.0960,4.5,11.00,51,"central Turkey"
nc,71885741,5,"Tuesday, November 13, 2012 23:50:03 UTC",40.4492,-125.9713,3.5,22.80,41,"off the coast of Northern California"
us,c000ds8f,4,"Tuesday, November 13, 2012 23:43:36 UTC",51.7443,177.0201,4.5,60.40,45,"Rat Islands, Aleutian Islands, Alaska"
ci,15244745,2,"Tuesday, November 13, 2012 23:37:56 UTC",34.2690,-116.9583,1.9,8.70,103,"Southern California"
us,c000ds7u,C,"Tuesday, November 13, 2012 23:24:09 UTC",42.5395,19.0011,4.6,9.80,77,"Montenegro"
us,c000ds7z,B,"Tuesday, November 13, 2012 23:23:49 UTC",-21.0416,-175.9344,5.4,27.10,282,"Tonga"
ci,15244721,4,"Tuesday, November 13, 2012 23:14:06 UTC",33.8465,-117.4897,1.4,0.00,14,"Greater Los Angeles area, California"
ak,10599605,1,"Tuesday, November 13, 2012 22:48:05 UTC",63.2938,-151.1512,1.5,9.80, 5,"Central Alaska"
ak,10599600,1,"Tuesday, November 13, 2012 22:38:47 UTC",59.9514,-150.6114,1.4,40.10, 5,"Kenai Peninsula, Alaska"
ci,15244713,6,"Tuesday, November 13, 2012 22:30:10 UTC",33.8432,-117.4980,1.7,1.20,59,"Greater Los Angeles area, California"
nc,71885706,3,"Tuesday, November 13, 2012 22:18:15 UTC",36.8138,-121.5418,1.9,4.90,61,"Central California"
uw,60474067,2,"Tuesday, November 13, 2012 22:13:15 UTC",46.0408,-122.8605,1.0,16.60,24,"Washington"
ci,15244705,2,"Tuesday, November 13, 2012 22:09:24 UTC",33.4197,-116.3647,1.9,14.50,31,"Southern California"
ci,15244697,4,"Tuesday, November 13, 2012 22:08:02 UTC",33.6992,-116.7988,1.5,17.70,42,"Southern California"
ci,15244689,4,"Tuesday, November 13, 2012 22:01:33 UTC",33.8578,-117.5078,1.8,0.00,37,"Greater Los Angeles area, California"
ci,15244673,2,"Tuesday, November 13, 2012 21:39:28 UTC",33.7478,-116.8252,1.5,16.80,59,"Southern California"
nc,71885701,0,"Tuesday, November 13, 2012 21:39:20 UTC",37.3250,-122.1065,1.5,0.10, 7,"San Francisco Bay area, California"
ak,10599578,1,"Tuesday, November 13, 2012 21:35:26 UTC",63.3371,-145.0147,1.3,11.30, 6,"Central Alaska"
ci,15244665,2,"Tuesday, November 13, 2012 21:29:25 UTC",35.4957,-118.3970,1.4,9.30,24,"Central California"
nc,71885696,0,"Tuesday, November 13, 2012 21:15:15 UTC",38.9745,-122.6943,1.5,2.90, 6,"Northern California"
ak,10599564,1,"Tuesday, November 13, 2012 21:06:03 UTC",57.4563,-142.6861,3.4,0.20,43,"Gulf of Alaska"
ak,10599557,1,"Tuesday, November 13, 2012 21:02:50 UTC",60.1599,-145.4735,1.7,24.30,13,"Southern Alaska"
ak,10599546,1,"Tuesday, November 13, 2012 20:24:02 UTC",59.9420,-152.3054,2.1,27.50, 8,"Southern Alaska"
ak,10599540,2,"Tuesday, November 13, 2012 20:21:51 UTC",57.6119,-142.8435,2.4,3.70,16,"Gulf of Alaska"
uw,60474022,4,"Tuesday, November 13, 2012 19:52:00 UTC",46.1952,-122.1848,1.7,1.70,22,"Mount St. Helens area, Washington"
nc,71881915,0,"Tuesday, November 13, 2012 19:24:15 UTC",38.8380,-122.7900,1.0,2.20,10,"Northern California"
nc,71881900,0,"Tuesday, November 13, 2012 19:08:49 UTC",37.9143,-118.9452,1.2,6.40,14,"Central California"
ak,10599503,1,"Tuesday, November 13, 2012 18:57:35 UTC",60.1342,-145.5227,2.0,19.80,29,"Southern Alaska"
ak,10599494,1,"Tuesday, November 13, 2012 18:35:20 UTC",61.8472,-149.8676,1.3,1.90, 4,"Southern Alaska"
nc,71881865,0,"Tuesday, November 13, 2012 18:29:40 UTC",37.6483,-118.9512,1.0,7.80,17,"Long Valley area, California"
us,c000drwl,4,"Tuesday, November 13, 2012 18:28:14 UTC",22.8276,95.9429,4.9,21.80,49,"Myanmar"
ak,10599490,1,"Tuesday, November 13, 2012 18:26:49 UTC",63.2219,-151.0513,1.1,16.00, 4,"Central Alaska"
nc,71881855,2,"Tuesday, November 13, 2012 18:25:08 UTC",35.2033,-120.6743,1.4,5.30,27,"Central California"
ak,10599478,2,"Tuesday, November 13, 2012 18:14:46 UTC",57.5621,-142.8187,2.5,10.00,19,"Gulf of Alaska"
nc,71881845,3,"Tuesday, November 13, 2012 18:10:17 UTC",37.2490,-119.8892,1.7,19.90,10,"Central California"
ak,10599467,1,"Tuesday, November 13, 2012 18:00:41 UTC",63.9406,-149.2907,1.4,0.30,13,"Central Alaska"
ak,10599463,1,"Tuesday, November 13, 2012 17:58:50 UTC",62.2749,-150.2023,1.7,0.10,15,"Central Alaska"
nc,71881820,0,"Tuesday, November 13, 2012 17:27:44 UTC",38.8230,-122.7635,1.0,2.10,12,"Northern California"
ak,10599447,1,"Tuesday, November 13, 2012 17:25:56 UTC",63.3367,-144.8915,1.3,6.10, 7,"Central Alaska"
ak,10599440,1,"Tuesday, November 13, 2012 17:07:43 UTC",61.6682,-151.3986,1.9,66.50,20,"Southern Alaska"
